GENERO;IDOSO;CASADO;DEPENDENTES;TEMPO_COMO_CLIENTE;SERVICOTELEFONE;SERVICO_INTERNET;SERVICO_SEGURANCA;SUPORTE_TECNICO;STREAMINGTV;TIPO_CONTRATO;METODOPAGAMENTO;PAGAMENTO_MENSAL;TOTAL_PAGO;CHURN
FEMALE;0;YES;NO;1;NO;DSL;NO;NO;NO;MONTH-TO-MONTH;ELECTRONIC CHECK;29.85;29.85;NO
MALE;0;NO;NO;34;YES;DSL;YES;NO;NO;ONE YEAR;MAILED CHECK;56.95;1889.5;NO
MALE;0;NO;NO;2;YES;DSL;YES;NO;NO;MONTH-TO-MONTH;MAILED CHECK;53.85;108.15;YES
MALE;0;NO;NO;45;NO;DSL;YES;YES;NO;ONE YEAR;BANK TRANSFER (AUTOMATIC);71.45;1840.75;NO
FEMALE;0;NO;NO;52;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;ONE YEAR;MAILED CHECK;71.45;1022.95;NO
MALE;0;NO;YES;71;YES;FIBER OPTIC;YES;NO;YES;TWO YEAR;BANK TRANSFER (AUTOMATIC);71.45;7382.25;NO
FEMALE;0;YES;YES;10;YES;DSL;NO;YES;NO;MONTH-TO-MONTH;CREDIT CARD (AUTOMATIC);71.45;528.35;YES
FEMALE;0;NO;NO;21;YES;FIBER OPTIC;NO;NO;NO;MONTH-TO-MONTH;ELECTRONIC CHECK;71.45;1862.9;NO
MALE;1;NO;NO;1;NO;DSL;NO;NO;NO;MONTH-TO-MONTH;ELECTRONIC CHECK;71.45;39.65;YES
MALE;0;YES;NO;12;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;ONE YEAR;BANK TRANSFER (AUTOMATIC);71.45;202.25;NO
MALE;0;NO;NO;1;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;MONTH-TO-MONTH;MAILED CHECK;71.45;20.15;YES
FEMALE;0;YES;NO;58;YES;DSL;NO;YES;NO;TWO YEAR;CREDIT CARD (AUTOMATIC);71.45;3505.1;NO
MALE;0;YES;YES;49;YES;DSL;YES;YES;NO;MONTH-TO-MONTH;CREDIT CARD (AUTOMATIC);71.45;2970.3;NO
FEMALE;0;NO;NO;30;YES;DSL;YES;NO;NO;MONTH-TO-MONTH;BANK TRANSFER (AUTOMATIC);71.45;1530.6;NO
MALE;0;YES;YES;47;YES;FIBER OPTIC;NO;NO;YES;MONTH-TO-MONTH;ELECTRONIC CHECK;71.45;4749.15;YES
MALE;0;YES;YES;1;NO;DSL;NO;NO;NO;MONTH-TO-MONTH;ELECTRONIC CHECK;71.45;30.2;YES
MALE;0;YES;NO;72;YES;DSL;YES;YES;YES;TWO YEAR;CREDIT CARD (AUTOMATIC);71.45;6369.45;NO
FEMALE;0;NO;YES;17;YES;DSL;NO;NO;YES;MONTH-TO-MONTH;MAILED CHECK;71.45;1093.1;YES
FEMALE;1;YES;NO;71;YES;FIBER OPTIC;YES;YES;NO;TWO YEAR;CREDIT CARD (AUTOMATIC);71.45;6766.95;NO
MALE;1;YES;NO;2;YES;FIBER OPTIC;NO;NO;YES;MONTH-TO-MONTH;CREDIT CARD (AUTOMATIC);71.45;181.65;NO
FEMALE;0;YES;YES;27;YES;DSL;YES;YES;NO;ONE YEAR;MAILED CHECK;71.45;1874.45;NO
MALE;0;NO;NO;1;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;MONTH-TO-MONTH;BANK TRANSFER (AUTOMATIC);71.45;20.2;NO
MALE;1;NO;NO;1;YES;DSL;NO;NO;NO;MONTH-TO-MONTH;BANK TRANSFER (AUTOMATIC);71.45;45.25;NO
FEMALE;0;YES;YES;72;YES;FIBER OPTIC;YES;YES;YES;TWO YEAR;BANK TRANSFER (AUTOMATIC);71.45;7251.7;NO
MALE;0;NO;NO;5;YES;FIBER OPTIC;NO;NO;NO;MONTH-TO-MONTH;ELECTRONIC CHECK;71.45;316.9;YES
FEMALE;0;NO;NO;46;YES;FIBER OPTIC;NO;NO;NO;MONTH-TO-MONTH;CREDIT CARD (AUTOMATIC);71.45;3548.3;NO
MALE;0;NO;NO;34;YES;FIBER OPTIC;NO;NO;YES;MONTH-TO-MONTH;ELECTRONIC CHECK;71.45;3549.25;YES
FEMALE;0;NO;NO;11;YES;FIBER OPTIC;NO;NO;YES;MONTH-TO-MONTH;BANK TRANSFER (AUTOMATIC);71.45;1105.4;YES
MALE;0;YES;YES;10;YES;DSL;NO;NO;NO;ONE YEAR;MAILED CHECK;71.45;475.7;NO
FEMALE;0;YES;YES;70;YES;DSL;YES;NO;YES;TWO YEAR;CREDIT CARD (AUTOMATIC);71.45;4872.35;NO
FEMALE;0;YES;YES;17;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;ONE YEAR;MAILED CHECK;71.45;418.25;NO
FEMALE;0;NO;NO;63;YES;DSL;YES;YES;YES;TWO YEAR;CREDIT CARD (AUTOMATIC);71.45;4861.45;NO
FEMALE;0;YES;NO;13;YES;DSL;YES;YES;YES;MONTH-TO-MONTH;ELECTRONIC CHECK;71.45;981.45;NO
FEMALE;0;NO;NO;49;YES;FIBER OPTIC;NO;NO;NO;MONTH-TO-MONTH;ELECTRONIC CHECK;71.45;3906.7;NO
MALE;0;NO;NO;2;YES;DSL;NO;NO;NO;MONTH-TO-MONTH;MAILED CHECK;71.45;97.0;NO
FEMALE;0;NO;NO;2;YES;FIBER OPTIC;NO;NO;YES;MONTH-TO-MONTH;ELECTRONIC CHECK;71.45;144.15;YES
MALE;0;NO;NO;52;YES;DSL;YES;YES;YES;TWO YEAR;CREDIT CARD (AUTOMATIC);71.45;4217.8;NO
FEMALE;0;YES;YES;69;YES;DSL;YES;YES;NO;TWO YEAR;CREDIT CARD (AUTOMATIC);71.45;4254.1;NO
FEMALE;1;NO;NO;43;YES;FIBER OPTIC;NO;NO;YES;MONTH-TO-MONTH;ELECTRONIC CHECK;71.45;3838.75;NO
FEMALE;0;NO;NO;15;YES;FIBER OPTIC;YES;NO;YES;MONTH-TO-MONTH;CREDIT CARD (AUTOMATIC);71.45;1426.4;YES
FEMALE;1;YES;NO;25;YES;DSL;YES;YES;YES;MONTH-TO-MONTH;CREDIT CARD (AUTOMATIC);71.45;1752.65;NO
FEMALE;1;YES;NO;8;YES;FIBER OPTIC;NO;NO;NO;MONTH-TO-MONTH;CREDIT CARD (AUTOMATIC);71.45;633.3;YES
FEMALE;1;YES;YES;60;YES;DSL;YES;YES;NO;ONE YEAR;CREDIT CARD (AUTOMATIC);71.45;4456.35;NO
MALE;1;NO;NO;18;YES;FIBER OPTIC;NO;NO;YES;MONTH-TO-MONTH;ELECTRONIC CHECK;71.45;1752.55;YES
FEMALE;0;YES;YES;63;YES;FIBER OPTIC;YES;NO;YES;ONE YEAR;CREDIT CARD (AUTOMATIC);71.45;6311.2;NO
MALE;1;YES;YES;66;YES;FIBER OPTIC;NO;YES;YES;ONE YEAR;ELECTRONIC CHECK;71.45;7076.35;NO
FEMALE;0;YES;YES;34;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;TWO YEAR;CREDIT CARD (AUTOMATIC);71.45;894.3;NO
FEMALE;0;NO;NO;72;YES;FIBER OPTIC;NO;YES;YES;TWO YEAR;CREDIT CARD (AUTOMATIC);71.45;7853.7;NO
FEMALE;0;YES;NO;47;YES;FIBER OPTIC;NO;NO;YES;MONTH-TO-MONTH;ELECTRONIC CHECK;71.45;4707.1;NO
MALE;0;NO;NO;60;YES;FIBER OPTIC;NO;NO;YES;MONTH-TO-MONTH;BANK TRANSFER (AUTOMATIC);71.45;5450.7;NO
MALE;0;YES;NO;72;NO;DSL;YES;NO;NO;TWO YEAR;BANK TRANSFER (AUTOMATIC);71.45;2962.0;NO
FEMALE;0;YES;YES;18;YES;DSL;NO;YES;NO;ONE YEAR;CREDIT CARD (AUTOMATIC);71.45;957.1;NO
FEMALE;0;NO;NO;9;YES;FIBER OPTIC;NO;NO;YES;MONTH-TO-MONTH;ELECTRONIC CHECK;71.45;857.25;YES
FEMALE;0;NO;NO;3;YES;DSL;NO;YES;YES;MONTH-TO-MONTH;ELECTRONIC CHECK;71.45;244.1;NO
MALE;0;YES;NO;47;YES;FIBER OPTIC;NO;NO;NO;ONE YEAR;ELECTRONIC CHECK;71.45;3650.35;NO
FEMALE;0;NO;NO;31;YES;DSL;NO;YES;YES;TWO YEAR;MAILED CHECK;71.45;2497.2;NO
FEMALE;0;YES;YES;50;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;TWO YEAR;BANK TRANSFER (AUTOMATIC);71.45;930.9;NO
MALE;0;NO;NO;10;YES;FIBER OPTIC;YES;NO;NO;MONTH-TO-MONTH;MAILED CHECK;71.45;887.35;NO
MALE;0;NO;NO;1;YES;DSL;NO;YES;NO;MONTH-TO-MONTH;MAILED CHECK;71.45;49.05;NO
FEMALE;0;YES;YES;52;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;ONE YEAR;ELECTRONIC CHECK;71.45;1090.65;NO
MALE;1;YES;YES;64;YES;FIBER OPTIC;YES;YES;YES;TWO YEAR;BANK TRANSFER (AUTOMATIC);71.45;7099.0;NO
MALE;0;YES;YES;62;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;TWO YEAR;BANK TRANSFER (AUTOMATIC);71.45;1424.6;NO
FEMALE;0;NO;YES;3;YES;DSL;YES;YES;NO;MONTH-TO-MONTH;BANK TRANSFER (AUTOMATIC);71.45;177.4;NO
FEMALE;1;NO;NO;56;YES;FIBER OPTIC;YES;NO;YES;ONE YEAR;ELECTRONIC CHECK;71.45;6139.5;NO
FEMALE;0;NO;NO;46;YES;DSL;NO;NO;NO;ONE YEAR;CREDIT CARD (AUTOMATIC);71.45;2688.85;NO
FEMALE;0;YES;YES;8;YES;DSL;YES;NO;NO;MONTH-TO-MONTH;MAILED CHECK;71.45;482.25;NO
MALE;1;NO;NO;30;YES;DSL;YES;NO;YES;MONTH-TO-MONTH;ELECTRONIC CHECK;71.45;2111.3;NO
FEMALE;0;YES;YES;45;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;ONE YEAR;CREDIT CARD (AUTOMATIC);71.45;1216.6;NO
FEMALE;0;NO;YES;1;YES;FIBER OPTIC;NO;NO;YES;MONTH-TO-MONTH;ELECTRONIC CHECK;71.45;79.35;YES
FEMALE;0;YES;YES;11;NO;DSL;YES;NO;YES;MONTH-TO-MONTH;ELECTRONIC CHECK;71.45;565.35;NO
FEMALE;0;YES;NO;7;YES;FIBER OPTIC;NO;NO;NO;MONTH-TO-MONTH;BANK TRANSFER (AUTOMATIC);71.45;496.9;YES
FEMALE;0;NO;NO;42;YES;FIBER OPTIC;NO;YES;YES;MONTH-TO-MONTH;BANK TRANSFER (AUTOMATIC);71.45;4327.5;NO
FEMALE;0;YES;NO;49;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;TWO YEAR;BANK TRANSFER (AUTOMATIC);71.45;973.35;NO
MALE;0;NO;NO;9;YES;FIBER OPTIC;NO;NO;YES;MONTH-TO-MONTH;CREDIT CARD (AUTOMATIC);71.45;918.75;NO
FEMALE;0;YES;NO;35;YES;DSL;YES;NO;YES;ONE YEAR;BANK TRANSFER (AUTOMATIC);71.45;2215.45;NO
FEMALE;0;YES;YES;48;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;TWO YEAR;BANK TRANSFER (AUTOMATIC);71.45;1057.0;NO
FEMALE;0;YES;YES;46;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;TWO YEAR;MAILED CHECK;71.45;927.1;NO
MALE;0;YES;NO;29;NO;DSL;NO;NO;YES;MONTH-TO-MONTH;MAILED CHECK;71.45;1009.25;NO
MALE;0;YES;YES;30;YES;FIBER OPTIC;NO;NO;NO;MONTH-TO-MONTH;BANK TRANSFER (AUTOMATIC);71.45;2570.2;NO
MALE;1;NO;NO;1;YES;FIBER OPTIC;NO;YES;NO;MONTH-TO-MONTH;ELECTRONIC CHECK;71.45;74.7;NO
MALE;0;YES;YES;66;YES;DSL;YES;YES;YES;TWO YEAR;MAILED CHECK;71.45;5714.25;NO
FEMALE;0;NO;NO;65;YES;FIBER OPTIC;YES;NO;YES;MONTH-TO-MONTH;CREDIT CARD (AUTOMATIC);71.45;7107.0;NO
MALE;0;NO;NO;72;YES;FIBER OPTIC;NO;NO;YES;TWO YEAR;BANK TRANSFER (AUTOMATIC);71.45;7459.05;NO
FEMALE;0;NO;NO;12;YES;FIBER OPTIC;YES;NO;NO;MONTH-TO-MONTH;ELECTRONIC CHECK;71.45;927.35;YES
MALE;0;YES;YES;71;YES;DSL;YES;YES;NO;ONE YEAR;CREDIT CARD (AUTOMATIC);71.45;4748.7;NO
MALE;0;NO;NO;5;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;MONTH-TO-MONTH;MAILED CHECK;71.45;113.85;YES
MALE;0;NO;NO;52;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;TWO YEAR;BANK TRANSFER (AUTOMATIC);71.45;1107.2;NO
FEMALE;1;YES;NO;25;YES;FIBER OPTIC;NO;NO;YES;MONTH-TO-MONTH;ELECTRONIC CHECK;71.45;2514.5;YES
MALE;0;NO;NO;1;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;MONTH-TO-MONTH;MAILED CHECK;71.45;20.2;NO
FEMALE;0;YES;YES;1;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;MONTH-TO-MONTH;ELECTRONIC CHECK;71.45;19.45;NO
MALE;0;NO;NO;38;YES;FIBER OPTIC;NO;YES;YES;ONE YEAR;BANK TRANSFER (AUTOMATIC);71.45;3605.6;NO
FEMALE;1;YES;NO;66;NO;DSL;NO;NO;YES;ONE YEAR;BANK TRANSFER (AUTOMATIC);71.45;3027.25;NO
MALE;0;YES;NO;68;YES;FIBER OPTIC;NO;YES;YES;TWO YEAR;BANK TRANSFER (AUTOMATIC);71.45;7611.85;YES
MALE;0;NO;NO;5;NO;DSL;NO;NO;NO;MONTH-TO-MONTH;MAILED CHECK;71.45;100.2;NO
FEMALE;0;YES;YES;72;YES;FIBER OPTIC;YES;NO;YES;ONE YEAR;ELECTRONIC CHECK;71.45;7303.05;NO
FEMALE;0;NO;NO;32;NO;DSL;YES;NO;NO;ONE YEAR;MAILED CHECK;71.45;927.65;NO
MALE;0;NO;NO;43;YES;FIBER OPTIC;NO;NO;YES;ONE YEAR;MAILED CHECK;71.45;3921.3;NO
MALE;0;YES;YES;72;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;TWO YEAR;CREDIT CARD (AUTOMATIC);71.45;1363.25;NO
